NodeId,KNN,VOSize
41,1,2184
41,2,3567
41,4,5624
41,8,8952
41,16,17246
41,32,42604
41,64,112023
41,128,219902
18467,1,4300
18467,2,7022
18467,4,10054
18467,8,18903
18467,16,42148
18467,32,95895
18467,64,219268
18467,128,415948
6334,1,2819
6334,2,3699
6334,4,7107
6334,8,12224
6334,16,23771
6334,32,73136
6334,64,177436
6334,128,379929
26500,1,4085
26500,2,7674
26500,4,8906
26500,8,13679
26500,16,29248
26500,32,51040
26500,64,82066
26500,128,178395
19169,1,8363
19169,2,11955
19169,4,18000
19169,8,28592
19169,16,47292
19169,32,77617
19169,64,156612
19169,128,328503
15724,1,3556
15724,2,4224
15724,4,7880
15724,8,15428
15724,16,39179
15724,32,92035
15724,64,204998
15724,128,350262
11478,1,7951
11478,2,8843
11478,4,10067
11478,8,13262
11478,16,24057
11478,32,42631
11478,64,86779
11478,128,198719
29358,1,2289
29358,2,2656
29358,4,8708
29358,8,15693
29358,16,21227
29358,32,36158
29358,64,72498
29358,128,155281
26962,1,2776
26962,2,5951
26962,4,7898
26962,8,16865
26962,16,34007
26962,32,65303
26962,64,129639
26962,128,288093
24464,1,5182
24464,2,5404
24464,4,8653
24464,8,13287
24464,16,19572
24464,32,34079
24464,64,71098
24464,128,177757
5705,1,4285
5705,2,7454
5705,4,16649
5705,8,24273
5705,16,51867
5705,32,88149
5705,64,167177
5705,128,342060
28145,1,3509
28145,2,3839
28145,4,5234
28145,8,11227
28145,16,17209
28145,32,33542
28145,64,80094
28145,128,157142
23281,1,1644
23281,2,1984
23281,4,2948
23281,8,4728
23281,16,13063
23281,32,33216
23281,64,107866
23281,128,219153
16827,1,2353
16827,2,4405
16827,4,6478
16827,8,11542
16827,16,28278
16827,32,69221
16827,64,120562
16827,128,221297
9961,1,2480
9961,2,2823
9961,4,3956
9961,8,7398
9961,16,17407
9961,32,45849
9961,64,87991
9961,128,188176
491,1,10916
491,2,12661
491,4,15523
491,8,18847
491,16,27598
491,32,48252
491,64,98063
491,128,212336
2995,1,4779
2995,2,5675
2995,4,7730
2995,8,13500
2995,16,26374
2995,32,48806
2995,64,95544
2995,128,180925
11942,1,2287
11942,2,2969
11942,4,4795
11942,8,7750
11942,16,17939
11942,32,31368
11942,64,74502
11942,128,177225
4827,1,1470
4827,2,2145
4827,4,3700
4827,8,5342
4827,16,10046
4827,32,31388
4827,64,97435
4827,128,213830
5436,1,2369
5436,2,3041
5436,4,7833
5436,8,16907
5436,16,43784
5436,32,83032
5436,64,175734
5436,128,420817
32391,1,2446
32391,2,2783
32391,4,11805
32391,8,28608
32391,16,55016
32391,32,99199
32391,64,188687
32391,128,367970
14604,1,5338
14604,2,6760
14604,4,8069
14604,8,11699
14604,16,21631
14604,32,47224
14604,64,110824
14604,128,295970
3902,1,10712
3902,2,12697
3902,4,15387
3902,8,28424
3902,16,50774
3902,32,96071
3902,64,193595
3902,128,354907
153,1,12036
153,2,12526
153,4,16572
153,8,23107
153,16,40148
153,32,73606
153,64,147205
153,128,382574
292,1,3059
292,2,4447
292,4,7708
292,8,12439
292,16,18886
292,32,54563
292,64,160905
292,128,325583
12382,1,4618
12382,2,11493
12382,4,14063
12382,8,23038
12382,16,35101
12382,32,59346
12382,64,106588
12382,128,204700
17421,1,2258
17421,2,9766
17421,4,11629
17421,8,17713
17421,16,30997
17421,32,56222
17421,64,109252
17421,128,218935
18716,1,1353
18716,2,1697
18716,4,4765
18716,8,8725
18716,16,18895
18716,32,52309
18716,64,118636
18716,128,251940
19718,1,4549
19718,2,5702
19718,4,8904
19718,8,13268
19718,16,19377
19718,32,38474
19718,64,82508
19718,128,183232
19895,1,3767
19895,2,4445
19895,4,6122
19895,8,9653
19895,16,18872
19895,32,37465
19895,64,75954
19895,128,206508
5447,1,1527
5447,2,4250
5447,4,6918
5447,8,15875
5447,16,42520
5447,32,81322
5447,64,172458
5447,128,430717
21726,1,7342
21726,2,8469
21726,4,10685
21726,8,15276
21726,16,25034
21726,32,45791
21726,64,86292
21726,128,190614
14771,1,3115
14771,2,4019
14771,4,5463
14771,8,7746
14771,16,13469
14771,32,27355
14771,64,60799
14771,128,137974
11538,1,704
11538,2,1186
11538,4,5807
11538,8,9774
11538,16,18949
11538,32,42338
11538,64,87963
11538,128,188370
1869,1,1335
1869,2,1816
1869,4,2715
1869,8,5410
1869,16,11164
1869,32,22322
1869,64,54822
1869,128,129502
19912,1,3773
19912,2,4444
19912,4,5895
19912,8,10582
19912,16,18747
19912,32,37228
19912,64,75493
19912,128,205599
25667,1,11786
25667,2,19275
25667,4,31126
25667,8,46387
25667,16,61571
25667,32,110419
25667,64,199265
25667,128,352711
26299,1,2310
26299,2,6367
26299,4,16549
26299,8,30702
26299,16,55197
26299,32,94262
26299,64,185812
26299,128,346015
17035,1,5103
17035,2,8263
17035,4,10989
17035,8,23660
17035,16,37414
17035,32,70324
17035,64,151504
17035,128,317172
9894,1,2909
9894,2,3792
9894,4,4769
9894,8,10385
9894,16,24315
9894,32,47932
9894,64,93725
9894,128,188914
28703,1,5135
28703,2,5806
28703,4,10627
28703,8,20761
28703,16,38166
28703,32,78468
28703,64,171451
28703,128,373405
23811,1,2304
23811,2,2499
23811,4,3328
23811,8,9426
23811,16,21123
23811,32,49652
23811,64,102589
23811,128,290180
31322,1,3460
31322,2,6185
31322,4,11147
31322,8,17882
31322,16,30534
31322,32,74093
31322,64,156779
31322,128,278322
30333,1,4652
30333,2,5139
30333,4,6238
30333,8,8050
30333,16,13961
30333,32,26837
30333,64,63311
30333,128,163631
17673,1,4080
17673,2,6117
17673,4,13091
17673,8,30271
17673,16,48963
17673,32,109440
17673,64,198489
17673,128,337296
4664,1,5532
4664,2,7198
4664,4,11469
4664,8,19957
4664,16,29203
4664,32,54083
4664,64,98556
4664,128,198394
15141,1,5516
15141,2,5894
15141,4,8200
15141,8,12624
15141,16,20669
15141,32,37782
15141,64,76944
15141,128,183304
7711,1,3404
7711,2,3898
7711,4,6795
7711,8,10620
7711,16,16765
7711,32,30069
7711,64,74176
7711,128,212462
28253,1,3060
28253,2,4443
28253,4,6288
28253,8,11502
28253,16,20388
28253,32,49631
28253,64,127510
28253,128,261493
6868,1,2319
6868,2,2639
6868,4,3494
6868,8,5522
6868,16,9652
6868,32,21312
6868,64,56677
6868,128,142831
25547,1,6795
25547,2,9169
25547,4,11513
25547,8,15795
25547,16,23909
25547,32,51354
25547,64,124679
25547,128,267189
27644,1,3990
27644,2,4494
27644,4,5932
27644,8,8057
27644,16,19164
27644,32,48454
27644,64,96277
27644,128,262539
32662,1,3494
32662,2,5161
32662,4,19494
32662,8,47492
32662,16,85119
32662,32,156050
32662,64,281989
32662,128,509389
32757,1,2276
32757,2,3461
32757,4,4977
32757,8,7949
32757,16,14118
32757,32,32323
32757,64,80213
32757,128,188158
20037,1,3784
20037,2,5226
20037,4,9162
20037,8,13846
20037,16,33642
20037,32,50643
20037,64,107412
20037,128,286524
12859,1,3345
12859,2,5018
12859,4,6246
12859,8,10131
12859,16,17355
12859,32,36850
12859,64,74863
12859,128,216609
8723,1,4770
8723,2,11007
8723,4,16335
8723,8,40350
8723,16,72100
8723,32,127828
8723,64,226614
8723,128,423750
9741,1,3707
9741,2,4430
9741,4,7108
9741,8,11189
9741,16,18296
9741,32,34265
9741,64,71190
9741,128,155290
27529,1,2716
27529,2,4729
27529,4,7817
27529,8,13266
27529,16,34926
27529,32,57232
27529,64,118535
27529,128,251810
778,1,1954
778,2,2430
778,4,4199
778,8,7134
778,16,19216
778,32,48062
778,64,86593
778,128,184958
12316,1,7108
12316,2,8809
12316,4,12696
12316,8,23933
12316,16,38756
12316,32,69350
12316,64,119380
12316,128,262743
3035,1,6175
3035,2,7905
3035,4,11477
3035,8,20272
3035,16,34811
3035,32,49857
3035,64,89149
3035,128,196302
22190,1,4515
22190,2,6219
22190,4,13977
22190,8,17964
22190,16,32514
22190,32,64996
22190,64,140874
22190,128,300748
1842,1,1935
1842,2,2425
1842,4,3723
1842,8,6280
1842,16,10606
1842,32,20928
1842,64,50017
1842,128,119183
288,1,3132
288,2,5500
288,4,6866
288,8,12093
288,16,26100
288,32,51773
288,64,166621
288,128,342585
30106,1,2616
30106,2,3519
30106,4,6965
30106,8,13620
30106,16,22717
30106,32,51509
30106,64,102376
30106,128,225251
9040,1,3541
9040,2,5876
9040,4,7625
9040,8,12816
9040,16,26834
9040,32,58435
9040,64,103934
9040,128,195301
8942,1,3845
8942,2,4503
8942,4,5611
8942,8,12755
8942,16,19587
8942,32,45679
8942,64,93621
8942,128,194415
19264,1,2062
19264,2,2423
19264,4,4246
19264,8,7371
19264,16,15240
19264,32,40131
19264,64,77524
19264,128,168414
22648,1,5105
22648,2,7116
22648,4,12144
22648,8,20383
22648,16,40004
22648,32,79912
22648,64,164859
22648,128,370135
27446,1,2517
27446,2,4944
27446,4,9367
27446,8,15453
27446,16,23048
27446,32,37867
27446,64,91828
27446,128,197104
23805,1,8199
23805,2,8672
23805,4,10447
23805,8,12983
23805,16,26034
23805,32,56294
23805,64,102856
23805,128,296761
15890,1,5691
15890,2,6425
15890,4,8031
15890,8,12434
15890,16,20555
15890,32,38833
15890,64,89235
15890,128,197846
6729,1,1570
6729,2,2448
6729,4,4026
6729,8,5727
6729,16,15448
6729,32,32465
6729,64,82852
6729,128,172348
24370,1,3508
24370,2,5929
24370,4,9083
24370,8,11910
24370,16,18908
24370,32,35526
24370,64,76699
24370,128,201524
15350,1,4195
15350,2,4873
15350,4,8026
15350,8,13670
15350,16,36340
15350,32,77609
15350,64,147224
15350,128,303846
15006,1,1927
15006,2,6036
15006,4,8842
15006,8,13101
15006,16,22361
15006,32,44404
15006,64,98629
15006,128,228677
31101,1,3231
31101,2,4365
31101,4,6922
31101,8,15581
31101,16,31443
31101,32,74924
31101,64,186266
31101,128,412343
24393,1,2966
24393,2,4077
24393,4,5426
24393,8,10376
24393,16,17905
24393,32,34829
24393,64,79162
24393,128,193622
3548,1,1622
3548,2,1843
3548,4,7835
3548,8,19729
3548,16,43628
3548,32,77925
3548,64,171630
3548,128,339038
19629,1,4435
19629,2,5338
19629,4,6109
19629,8,10571
19629,16,22929
19629,32,55207
19629,64,114354
19629,128,221155
12623,1,5922
12623,2,7341
12623,4,9546
12623,8,12974
12623,16,19410
12623,32,36610
12623,64,66757
12623,128,147891
24084,1,5965
24084,2,8737
24084,4,12387
24084,8,22193
24084,16,32574
24084,32,54255
24084,64,120245
24084,128,211107
19954,1,866
19954,2,1981
19954,4,4498
19954,8,8528
19954,16,18389
19954,32,38262
19954,64,79311
19954,128,214986
18756,1,4977
18756,2,5651
18756,4,9998
18756,8,13686
18756,16,27986
18756,32,50962
18756,64,119016
18756,128,279961
11840,1,3119
11840,2,4002
11840,4,5604
11840,8,10422
11840,16,22218
11840,32,39397
11840,64,80837
11840,128,220280
4966,1,6281
4966,2,8300
4966,4,12750
4966,8,22492
4966,16,41364
4966,32,71712
4966,64,159278
4966,128,339533
7376,1,4488
7376,2,6187
7376,4,11621
7376,8,23545
7376,16,52076
7376,32,107711
7376,64,225843
7376,128,388810
13931,1,2904
13931,2,3244
13931,4,5081
13931,8,9243
13931,16,17431
13931,32,45280
13931,64,88713
13931,128,197658
26308,1,7615
26308,2,12702
26308,4,25527
26308,8,35394
26308,16,63342
26308,32,109743
26308,64,184809
26308,128,345314
16944,1,3503
16944,2,4378
16944,4,8464
16944,8,13511
16944,16,27026
16944,32,61867
16944,64,111836
16944,128,247149
32439,1,9127
32439,2,11469
32439,4,18921
32439,8,39817
32439,16,63945
32439,32,114726
32439,64,192193
32439,128,400364
24626,1,3846
24626,2,4519
24626,4,5393
24626,8,7737
24626,16,17474
24626,32,35180
24626,64,77404
24626,128,211411
11323,1,1470
11323,2,2137
11323,4,4195
11323,8,7000
11323,16,24814
11323,32,47825
11323,64,85798
11323,128,189235
5537,1,6922
5537,2,13776
5537,4,16171
5537,8,24042
5537,16,39936
5537,32,86886
5537,64,167258
5537,128,450950
21538,1,7894
21538,2,8790
21538,4,17237
21538,8,22293
21538,16,31474
21538,32,53856
21538,64,107032
21538,128,289504
16118,1,3287
16118,2,7355
16118,4,12859
16118,8,18528
16118,16,32156
16118,32,57380
16118,64,107681
16118,128,227560
2082,1,5540
2082,2,5915
2082,4,7022
2082,8,9412
2082,16,21381
2082,32,40849
2082,64,95190
2082,128,218520
22929,1,5925
22929,2,11577
22929,4,18459
22929,8,34945
22929,16,59303
22929,32,96714
22929,64,146698
22929,128,248566
16541,1,2116
16541,2,4137
16541,4,4863
16541,8,8001
16541,16,14918
16541,32,30105
16541,64,71029
16541,128,154157
