NodeId,KNN,VOSize
17673,1,2087
17673,2,2308
17673,4,4186
17673,8,8144
17673,16,24255
17673,32,52846
17673,64,111763
17673,128,236323
4664,1,2787
4664,2,4150
4664,4,6651
4664,8,12340
4664,16,25238
4664,32,42494
4664,64,70356
4664,128,128875
15141,1,2667
15141,2,3576
15141,4,4310
15141,8,6429
15141,16,11393
15141,32,24074
15141,64,60900
15141,128,132098
7711,1,2041
7711,2,2534
7711,4,4418
7711,8,8945
7711,16,15678
7711,32,27734
7711,64,67261
7711,128,132842
28253,1,1855
28253,2,2210
28253,4,3814
28253,8,7108
28253,16,12467
28253,32,28075
28253,64,63856
28253,128,157715
6868,1,2125
6868,2,2778
6868,4,4360
6868,8,6922
6868,16,11398
6868,32,20039
6868,64,42786
6868,128,113679
25547,1,4515
25547,2,5940
25547,4,7985
25547,8,14069
25547,16,19827
25547,32,36809
25547,64,71434
25547,128,162538
27644,1,2098
27644,2,2980
27644,4,4547
27644,8,7081
27644,16,13647
27644,32,29641
27644,64,73290
27644,128,155494
32662,1,3394
32662,2,6533
32662,4,14771
32662,8,23573
32662,16,39265
32662,32,68804
32662,64,122286
32662,128,287181
32757,1,2791
32757,2,3500
32757,4,4830
32757,8,7872
32757,16,14478
32757,32,30246
32757,64,69420
32757,128,151566
20037,1,3476
20037,2,3991
20037,4,8902
20037,8,11688
20037,16,17760
20037,32,31482
20037,64,66500
20037,128,143996
12859,1,3632
12859,2,5652
12859,4,8186
12859,8,10485
12859,16,16744
12859,32,35020
12859,64,71522
12859,128,146046
8723,1,2944
8723,2,3810
8723,4,5170
8723,8,8629
8723,16,21472
8723,32,51409
8723,64,105120
8723,128,226781
9741,1,1162
9741,2,1823
9741,4,2969
9741,8,4794
9741,16,13146
9741,32,25658
9741,64,59093
9741,128,122273
27529,1,1636
27529,2,3018
27529,4,6377
27529,8,9475
27529,16,21421
27529,32,42000
27529,64,78778
27529,128,150966
778,1,5151
778,2,5816
778,4,8913
778,8,13204
778,16,21290
778,32,39985
778,64,71578
778,128,139014
12316,1,1214
12316,2,2593
12316,4,3755
12316,8,6035
12316,16,21705
12316,32,38728
12316,64,74847
12316,128,149734
3035,1,935
3035,2,1266
3035,4,2313
3035,8,8173
3035,16,16524
3035,32,31732
3035,64,61777
3035,128,128728
22190,1,2125
22190,2,2778
22190,4,5026
22190,8,8484
22190,16,14622
22190,32,37171
22190,64,91017
22190,128,193191
1842,1,2046
1842,2,2949
1842,4,3829
1842,8,6371
1842,16,11174
1842,32,19254
1842,64,40100
1842,128,99433
288,1,2077
288,2,4094
288,4,5493
288,8,8727
288,16,20364
288,32,38024
288,64,77863
288,128,184475
30106,1,589
30106,2,1703
30106,4,3380
30106,8,5518
30106,16,15049
30106,32,24767
30106,64,54747
30106,128,137482
9040,1,2745
9040,2,4129
9040,4,6315
9040,8,11219
9040,16,19693
9040,32,33698
9040,64,73234
9040,128,139378
8942,1,3161
8942,2,3634
8942,4,4330
8942,8,7219
8942,16,12433
8942,32,25668
8942,64,56993
8942,128,124614
19264,1,2334
19264,2,2702
19264,4,4491
19264,8,9119
19264,16,14078
19264,32,26497
19264,64,58599
19264,128,119782
22648,1,1563
22648,2,2228
22648,4,5024
22648,8,8770
22648,16,17120
22648,32,39949
22648,64,95113
22648,128,208936
27446,1,1772
27446,2,2278
27446,4,2784
27446,8,8520
27446,16,16448
27446,32,26916
27446,64,54994
27446,128,134322
23805,1,3726
23805,2,4865
23805,4,6072
23805,8,8860
23805,16,14016
23805,32,28163
23805,64,59349
23805,128,134000
15890,1,1095
15890,2,1764
15890,4,3319
15890,8,6780
15890,16,10890
15890,32,23092
15890,64,58035
15890,128,125865
6729,1,4177
6729,2,4505
6729,4,6000
6729,8,7672
6729,16,12310
6729,32,26931
6729,64,63246
6729,128,149354
24370,1,1192
24370,2,2330
24370,4,6094
24370,8,8671
24370,16,18118
24370,32,29811
24370,64,68915
24370,128,150567
15350,1,1310
15350,2,1990
15350,4,5417
15350,8,9079
15350,16,17759
15350,32,40633
15350,64,89765
15350,128,170726
15006,1,2489
15006,2,2826
15006,4,5341
15006,8,9895
15006,16,14678
15006,32,29029
15006,64,50420
15006,128,121859
31101,1,3558
31101,2,4692
31101,4,6308
31101,8,11870
31101,16,23579
31101,32,54824
31101,64,120025
31101,128,283233
24393,1,2353
24393,2,2569
24393,4,6508
24393,8,10113
24393,16,14219
24393,32,30711
24393,64,70484
24393,128,153651
3548,1,3093
3548,2,3745
3548,4,7224
3548,8,11285
3548,16,30554
3548,32,62633
3548,64,114854
3548,128,221560
19629,1,820
19629,2,1932
19629,4,2934
19629,8,6597
19629,16,12081
19629,32,26943
19629,64,63970
19629,128,150197
12623,1,2389
12623,2,4076
12623,4,5509
12623,8,8470
12623,16,15072
12623,32,27138
12623,64,49891
12623,128,103957
24084,1,966
24084,2,1438
24084,4,3451
24084,8,8115
24084,16,22449
24084,32,42851
24084,64,82797
24084,128,166432
19954,1,2407
19954,2,2737
19954,4,3589
19954,8,8556
19954,16,17860
19954,32,38411
19954,64,77948
19954,128,153252
18756,1,2922
18756,2,5275
18756,4,6655
18756,8,8866
18756,16,16502
18756,32,33907
18756,64,62853
18756,128,136021
11840,1,1423
11840,2,1757
11840,4,2604
11840,8,5156
11840,16,11550
11840,32,31346
11840,64,66555
11840,128,147150
4966,1,4804
4966,2,7162
4966,4,11569
4966,8,15055
4966,16,25849
4966,32,48835
4966,64,99852
4966,128,204166
7376,1,2904
7376,2,4005
7376,4,6768
7376,8,13251
7376,16,29466
7376,32,68394
7376,64,131357
7376,128,254716
13931,1,1240
13931,2,1555
13931,4,3179
13931,8,5110
13931,16,10171
13931,32,23228
13931,64,57348
13931,128,125592
26308,1,3549
26308,2,5885
26308,4,8529
26308,8,20896
26308,16,36305
26308,32,65435
26308,64,126237
26308,128,232789
16944,1,3645
16944,2,4772
16944,4,9042
16944,8,14676
16944,16,20657
16944,32,37123
16944,64,73746
16944,128,151568
32439,1,3919
32439,2,11385
32439,4,17253
32439,8,25909
32439,16,42138
32439,32,82481
32439,64,155458
32439,128,280558
24626,1,5477
24626,2,5985
24626,4,7395
24626,8,10391
24626,16,20585
24626,32,33611
24626,64,68125
24626,128,140781
11323,1,5164
11323,2,7901
11323,4,9950
11323,8,12858
11323,16,21740
11323,32,41855
11323,64,72277
11323,128,140261
5537,1,6697
5537,2,8682
5537,4,12727
5537,8,17448
5537,16,33908
5537,32,72423
5537,64,152795
5537,128,278665
21538,1,4023
21538,2,4255
21538,4,6617
21538,8,11962
21538,16,22663
21538,32,40512
21538,64,66301
21538,128,135329
16118,1,5138
16118,2,9203
16118,4,11885
16118,8,17352
16118,16,26156
16118,32,44831
16118,64,80297
16118,128,146342
2082,1,2092
2082,2,2428
2082,4,3929
2082,8,5775
2082,16,10993
2082,32,26342
2082,64,62213
2082,128,147410
22929,1,1362
22929,2,1577
22929,4,2277
22929,8,9115
22929,16,17896
22929,32,41615
22929,64,86433
22929,128,176226
16541,1,2893
16541,2,3248
16541,4,4544
16541,8,7281
16541,16,13012
16541,32,26253
16541,64,62023
16541,128,130991
