NodeId,KNN,VOSize
41,1,11614
41,2,11947
41,4,15494
41,8,22652
41,16,60333
41,32,118467
41,64,220936
41,128,471372
18467,1,28866
18467,2,44439
18467,4,59250
18467,8,109698
18467,16,214447
18467,32,373343
18467,64,758556
18467,128,1808192
6334,1,25703
6334,2,29828
6334,4,61447
6334,8,131449
6334,16,190883
6334,32,308582
6334,64,505632
6334,128,920419
26500,1,10060
26500,2,12087
26500,4,20793
26500,8,29946
26500,16,41790
26500,32,91759
26500,64,320973
26500,128,809037
19169,1,29713
19169,2,38646
19169,4,66665
19169,8,130924
19169,16,191667
19169,32,383240
19169,64,600216
19169,128,992605
15724,1,10053
15724,2,21211
15724,4,44234
15724,8,111563
15724,16,188201
15724,32,322201
15724,64,510054
15724,128,1030848
11478,1,23996
11478,2,26113
11478,4,31672
11478,8,47580
11478,16,92673
11478,32,187370
11478,64,335436
11478,128,638532
29358,1,20449
29358,2,25096
29358,4,29126
29358,8,48874
29358,16,75121
29358,32,132148
29358,64,415906
29358,128,1229014
26962,1,11923
26962,2,18213
26962,4,38660
26962,8,60401
26962,16,117813
26962,32,253302
26962,64,463793
26962,128,968342
24464,1,15766
24464,2,19540
24464,4,20771
24464,8,33203
24464,16,57567
24464,32,122900
24464,64,345748
24464,128,574789
5705,1,36144
5705,2,46756
5705,4,63000
5705,8,87700
5705,16,167937
5705,32,324349
5705,64,643080
5705,128,1373760
28145,1,17846
28145,2,22580
28145,4,27662
28145,8,43196
28145,16,63167
28145,32,117011
28145,64,294684
28145,128,1038567
23281,1,5297
23281,2,5747
23281,4,8376
23281,8,28135
23281,16,100404
23281,32,142736
23281,64,237347
23281,128,525267
16827,1,10851
16827,2,11134
16827,4,21641
16827,8,42109
16827,16,75383
16827,32,131082
16827,64,288242
16827,128,649811
9961,1,10691
9961,2,18972
9961,4,32827
9961,8,44661
9961,16,84107
9961,32,192624
9961,64,443691
9961,128,961259
491,1,12420
491,2,15669
491,4,20398
491,8,78068
491,16,115442
491,32,253179
491,64,527323
491,128,1002523
2995,1,40246
2995,2,52455
2995,4,65531
2995,8,77041
2995,16,102828
2995,32,194701
2995,64,366409
2995,128,877158
11942,1,5856
11942,2,9104
11942,4,10855
11942,8,15302
11942,16,42198
11942,32,109645
11942,64,313609
11942,128,758663
4827,1,10341
4827,2,11048
4827,4,17840
4827,8,37404
4827,16,79131
4827,32,166668
4827,64,295994
4827,128,767571
5436,1,10572
5436,2,10920
5436,4,20783
5436,8,41695
5436,16,133163
5436,32,310596
5436,64,664080
5436,128,1335020
32391,1,16005
32391,2,41275
32391,4,75036
32391,8,135202
32391,16,199917
32391,32,489447
32391,64,1137118
32391,128,2111002
14604,1,6702
14604,2,9108
14604,4,14578
14604,8,25629
14604,16,60280
14604,32,167237
14604,64,436144
14604,128,996176
3902,1,34818
3902,2,55530
3902,4,89728
3902,8,136457
3902,16,212535
3902,32,345915
3902,64,519985
3902,128,997448
153,1,14531
153,2,17310
153,4,20019
153,8,55400
153,16,100193
153,32,450647
153,64,956752
153,128,1789095
292,1,13104
292,2,15535
292,4,21278
292,8,35076
292,16,87788
292,32,235699
292,64,597219
292,128,1671123
12382,1,13156
12382,2,30921
12382,4,34288
12382,8,57849
12382,16,92759
12382,32,150910
12382,64,440317
12382,128,1021211
17421,1,8239
17421,2,12325
17421,4,19005
17421,8,60642
17421,16,101587
17421,32,241904
17421,64,474528
17421,128,1103542
18716,1,30466
18716,2,36793
18716,4,49593
18716,8,79691
18716,16,126543
18716,32,237047
18716,64,507970
18716,128,945535
19718,1,14277
19718,2,14671
19718,4,22289
19718,8,41904
19718,16,68491
19718,32,143354
19718,64,337398
19718,128,756021
19895,1,10947
19895,2,16738
19895,4,18843
19895,8,24647
19895,16,61219
19895,32,112720
19895,64,258185
19895,128,593511
5447,1,10557
5447,2,10900
5447,4,20713
5447,8,58130
5447,16,132794
5447,32,309825
5447,64,662727
5447,128,1360499
21726,1,34809
21726,2,42433
21726,4,47024
21726,8,83194
21726,16,124535
21726,32,194680
21726,64,466432
21726,128,1043156
14771,1,26835
14771,2,28659
14771,4,37162
14771,8,44020
14771,16,68616
14771,32,136422
14771,64,387346
14771,128,822379
11538,1,24057
11538,2,26234
11538,4,31913
11538,8,48097
11538,16,83389
11538,32,189381
11538,64,353290
11538,128,645581
1869,1,10638
1869,2,12225
1869,4,18910
1869,8,30675
1869,16,56988
1869,32,119184
1869,64,351194
1869,128,857890
19912,1,10947
19912,2,16738
19912,4,18843
19912,8,24647
19912,16,61219
19912,32,112720
19912,64,258185
19912,128,593511
25667,1,17097
25667,2,36874
25667,4,61676
25667,8,123845
25667,16,188655
25667,32,327203
25667,64,549863
25667,128,1041407
26299,1,65458
26299,2,77610
26299,4,99779
26299,8,166065
26299,16,242279
26299,32,339235
26299,64,630874
26299,128,1055654
17035,1,50945
17035,2,58538
17035,4,78373
17035,8,117622
17035,16,176214
17035,32,362969
17035,64,667595
17035,128,1004979
9894,1,15967
9894,2,19194
9894,4,30678
9894,8,43903
9894,16,98343
9894,32,187781
9894,64,439066
9894,128,983963
28703,1,27747
28703,2,38271
28703,4,47074
28703,8,77749
28703,16,198602
28703,32,388200
28703,64,738574
28703,128,1757591
23811,1,15232
23811,2,18454
23811,4,23785
23811,8,33572
23811,16,64862
23811,32,175044
23811,64,442928
23811,128,1000927
31322,1,17928
31322,2,33633
31322,4,57697
31322,8,71295
31322,16,120794
31322,32,275994
31322,64,534422
31322,128,892918
30333,1,7106
30333,2,7315
30333,4,11013
30333,8,14740
30333,16,24564
30333,32,58358
30333,64,156163
30333,128,456679
17673,1,6990
17673,2,25694
17673,4,41390
17673,8,94559
17673,16,199990
17673,32,331541
17673,64,626025
17673,128,1022045
4664,1,24485
4664,2,26878
4664,4,42742
4664,8,48707
4664,16,97031
4664,32,149846
4664,64,445536
4664,128,1006698
15141,1,5756
15141,2,7575
15141,4,14125
15141,8,19870
15141,16,34145
15141,32,91341
15141,64,230535
15141,128,605596
7711,1,25057
7711,2,30812
7711,4,32948
7711,8,39311
7711,16,68912
7711,32,143894
7711,64,347778
7711,128,594420
28253,1,32527
28253,2,51467
28253,4,92531
28253,8,129799
28253,16,174423
28253,32,276931
28253,64,538328
28253,128,1041730
6868,1,13414
6868,2,14301
6868,4,22125
6868,8,34726
6868,16,57049
6868,32,105911
6868,64,376098
6868,128,945600
25547,1,4003
25547,2,4894
25547,4,9693
25547,8,39297
25547,16,119626
25547,32,213008
25547,64,458904
25547,128,978336
27644,1,9259
27644,2,12531
27644,4,18002
27644,8,35218
27644,16,66696
27644,32,251210
27644,64,688007
27644,128,1659954
32662,1,10267
32662,2,24891
32662,4,60582
32662,8,115722
32662,16,229287
32662,32,532470
32662,64,989304
32662,128,2022909
32757,1,9960
32757,2,13818
32757,4,19446
32757,8,35276
32757,16,70652
32757,32,227115
32757,64,353583
32757,128,575896
20037,1,12601
20037,2,14731
20037,4,21300
20037,8,30663
20037,16,64588
20037,32,170261
20037,64,436468
20037,128,991135
12859,1,12449
12859,2,15250
12859,4,20323
12859,8,34240
12859,16,70910
12859,32,229794
12859,64,357984
12859,128,554103
8723,1,37901
8723,2,58593
8723,4,105716
8723,8,153181
8723,16,228728
8723,32,387240
8723,64,736793
8723,128,1760898
9741,1,16215
9741,2,17705
9741,4,24675
9741,8,33527
9741,16,53686
9741,32,115805
9741,64,262707
9741,128,482204
27529,1,31261
27529,2,33313
27529,4,40663
27529,8,71159
27529,16,101732
27529,32,181567
27529,64,513029
27529,128,1019020
778,1,13696
778,2,17382
778,4,32289
778,8,61338
778,16,90182
778,32,198867
778,64,408919
778,128,913478
12316,1,4883
12316,2,18765
12316,4,26874
12316,8,48960
12316,16,86892
12316,32,191520
12316,64,369834
12316,128,979888
3035,1,40266
3035,2,52464
3035,4,66927
3035,8,75723
3035,16,107813
3035,32,198767
3035,64,394135
3035,128,891139
22190,1,10623
22190,2,19550
22190,4,54227
22190,8,74420
22190,16,196877
22190,32,418198
22190,64,671557
22190,128,968612
1842,1,26666
1842,2,27392
1842,4,38792
1842,8,45474
1842,16,66483
1842,32,111826
1842,64,373281
1842,128,932578
288,1,13108
288,2,15910
288,4,24152
288,8,32429
288,16,82291
288,32,296923
288,64,680061
288,128,1708577
30106,1,38333
30106,2,39291
30106,4,44023
30106,8,69446
30106,16,115375
30106,32,234458
30106,64,525167
30106,128,1096676
9040,1,13088
9040,2,15147
9040,4,17796
9040,8,40041
9040,16,102947
9040,32,146819
9040,64,446708
9040,128,1005225
8942,1,11939
8942,2,12854
8942,4,22052
8942,8,34558
8942,16,86286
8942,32,190768
8942,64,470048
8942,128,970423
19264,1,31398
19264,2,38490
19264,4,42693
19264,8,55388
19264,16,73958
19264,32,124542
19264,64,206822
19264,128,402542
22648,1,9376
22648,2,13516
22648,4,38110
22648,8,83081
22648,16,161771
22648,32,343581
22648,64,795719
22648,128,1740824
27446,1,10879
27446,2,14631
27446,4,16522
27446,8,21514
27446,16,48042
27446,32,105172
27446,64,373339
27446,128,833223
23805,1,15232
23805,2,18423
23805,4,21411
23805,8,32821
23805,16,64642
23805,32,212608
23805,64,451504
23805,128,999876
15890,1,22082
15890,2,29214
15890,4,37612
15890,8,46114
15890,16,99876
15890,32,221952
15890,64,450302
15890,128,1043117
6729,1,11359
6729,2,14229
6729,4,17720
6729,8,31844
6729,16,51305
6729,32,93270
6729,64,252373
6729,128,532057
24370,1,12493
24370,2,15362
24370,4,20487
24370,8,35371
24370,16,67882
24370,32,183975
24370,64,347638
24370,128,567858
15350,1,26809
15350,2,38916
15350,4,76231
15350,8,118253
15350,16,210159
15350,32,378323
15350,64,647945
15350,128,984945
15006,1,38395
15006,2,53368
15006,4,75512
15006,8,98488
15006,16,163402
15006,32,252971
15006,64,540707
15006,128,1012792
31101,1,9696
31101,2,11757
31101,4,32576
31101,8,90197
31101,16,167296
31101,32,475512
31101,64,1071939
31101,128,2093304
24393,1,8440
24393,2,13725
24393,4,19999
24393,8,34535
24393,16,67555
24393,32,184945
24393,64,349934
24393,128,573044
3548,1,6119
3548,2,20752
3548,4,33475
3548,8,56600
3548,16,131656
3548,32,276311
3548,64,474676
3548,128,1016922
19629,1,38345
19629,2,39804
19629,4,43125
19629,8,67110
19629,16,103769
19629,32,203533
19629,64,517243
19629,128,1073607
12623,1,27382
12623,2,29153
12623,4,31593
12623,8,38466
12623,16,62248
12623,32,115752
12623,64,354987
12623,128,855147
24084,1,10378
24084,2,18640
24084,4,26486
24084,8,48449
24084,16,123542
24084,32,210811
24084,64,494093
24084,128,980123
19954,1,11014
19954,2,16872
19954,4,19109
19954,8,25177
19954,16,62277
19954,32,114834
19954,64,262411
19954,128,601976
18756,1,30405
