NodeId,KNN,VOSize
41,1,932
41,2,1251
41,4,2215
41,8,3496
41,16,6725
41,32,13780
41,64,30369
41,128,70276
18467,1,1418
18467,2,1733
18467,4,2538
18467,8,4563
18467,16,9166
18467,32,20597
18467,64,38860
18467,128,86378
6334,1,826
6334,2,1480
6334,4,2171
6334,8,5459
6334,16,10860
6334,32,20508
6334,64,41765
6334,128,87206
26500,1,966
26500,2,1446
26500,4,3061
26500,8,5013
26500,16,9221
26500,32,17932
26500,64,35601
26500,128,73906
19169,1,1147
19169,2,1611
19169,4,3049
19169,8,5826
19169,16,12164
19169,32,22131
19169,64,43692
19169,128,87495
15724,1,2132
15724,2,2447
15724,4,3453
15724,8,5435
15724,16,10254
15724,32,22186
15724,64,44381
15724,128,93706
11478,1,982
11478,2,1471
11478,4,2857
11478,8,4902
11478,16,7987
11478,32,18250
11478,64,38153
11478,128,77008
29358,1,970
29358,2,1313
29358,4,2203
29358,8,4229
29358,16,9515
29358,32,20029
29358,64,38976
29358,128,75183
26962,1,758
26962,2,1098
26962,4,1926
26962,8,4249
26962,16,8005
26962,32,17386
26962,64,39442
26962,128,84769
24464,1,1298
24464,2,1622
24464,4,2596
24464,8,4383
24464,16,7342
24464,32,14673
24464,64,35537
24464,128,74018
5705,1,823
5705,2,1137
5705,4,3752
5705,8,6909
5705,16,12088
5705,32,21350
5705,64,41987
5705,128,85440
28145,1,1315
28145,2,1789
28145,4,3138
28145,8,4719
28145,16,8597
28145,32,16310
28145,64,32705
28145,128,69797
23281,1,687
23281,2,1018
23281,4,1612
23281,8,3497
23281,16,7483
23281,32,17553
23281,64,39445
23281,128,92052
16827,1,980
16827,2,1456
16827,4,2125
16827,8,4402
16827,16,9078
16827,32,17526
16827,64,38305
16827,128,83680
9961,1,419
9961,2,740
9961,4,1593
9961,8,3410
9961,16,7579
9961,32,15689
9961,64,36222
9961,128,84531
491,1,728
491,2,1045
491,4,2352
491,8,3775
491,16,7076
491,32,15007
491,64,31510
491,128,72368
2995,1,672
2995,2,1769
2995,4,3130
2995,8,4533
2995,16,8174
2995,32,17735
2995,64,34286
2995,128,73297
11942,1,829
11942,2,1500
11942,4,2767
11942,8,4625
11942,16,9296
11942,32,18029
11942,64,34905
11942,128,74020
4827,1,547
4827,2,861
4827,4,2037
4827,8,3243
4827,16,7585
4827,32,15631
4827,64,31615
4827,128,66810
5436,1,892
5436,2,1211
5436,4,2021
5436,8,4392
5436,16,7862
5436,32,15924
5436,64,38762
5436,128,89480
32391,1,1077
32391,2,1722
32391,4,2519
32391,8,4341
32391,16,9772
32391,32,20629
32391,64,39479
32391,128,84746
14604,1,679
14604,2,1555
14604,4,2624
14604,8,4909
14604,16,9008
14604,32,17785
14604,64,34833
14604,128,75298
3902,1,2205
3902,2,2524
3902,4,3711
3902,8,5682
3902,16,11117
3902,32,22754
3902,64,47394
3902,128,93838
153,1,1473
153,2,2581
153,4,3711
153,8,6284
153,16,10835
153,32,17974
153,64,34926
153,128,68554
292,1,1470
292,2,2341
292,4,3035
292,8,5029
292,16,9367
292,32,17733
292,64,38591
292,128,76329
12382,1,1934
12382,2,2407
12382,4,3383
12382,8,5392
12382,16,9589
12382,32,18122
12382,64,35553
12382,128,73584
17421,1,1142
17421,2,1337
17421,4,2537
17421,8,4045
17421,16,7985
17421,32,16667
17421,64,35508
17421,128,74442
18716,1,682
18716,2,1553
18716,4,2251
18716,8,4635
18716,16,8371
18716,32,15156
18716,64,37510
18716,128,78047
19718,1,816
19718,2,1133
19718,4,1964
19718,8,3166
19718,16,7440
19718,32,15695
19718,64,34738
19718,128,78550
19895,1,969
19895,2,1446
19895,4,2269
19895,8,4053
19895,16,8412
19895,32,16714
19895,64,36523
19895,128,77921
5447,1,1846
5447,2,2165
5447,4,2846
5447,8,4498
5447,16,8188
5447,32,15955
5447,64,36008
5447,128,82827
21726,1,681
21726,2,1156
21726,4,1992
21726,8,4695
21726,16,10256
21726,32,19476
21726,64,37329
21726,128,76256
14771,1,690
